순번,시설종류,시설명,지번주소,연장,차로,속도제한,통행구분,보도여부,평균보도폭상행,평균보도폭하행,보도연장상행,보도연장하행,경도,위도
1,노인복지시설(의료),강북노인복지회관,대구광역시 북구 관음동 1372,223,2,30,양방,양측,2.5,2.5,215,223,35.93501487,128.5465069
2,노인복지시설(여가),"노원1,2가 경로당",대구광역시 노원동2가 71-6,212,2,30,알벙,없음,0,0,0,0,35.8925472,128.5746521
3,노인복지시설(의료),대불노인복지관,대구광역시 북구 복현동 536,140,2,30,양방,편측,0,3.2,0,16,35.89871132,128.6168032
4,노인복지시설(의료),북구노인복지관,대구광역시 북구 침산3동 521-2,532,4,30,양방,양측,4,3.5,497,462,35.89183828,128.5888944
5,노인복지시설(의료),산격1동경로당,대구광역시 북구 산격동 848-62,173,2,30,양방,없음,0,0,0,0,35.89230252,128.5949189
6,노인복지시설(의료),침산노인대학,대구광역시 북구 노원동1가 211,230,2,30,일방,없음,0,0,0,0,35.88855748,128.5781048
7,노인복지시설(의료),함지노인복지관,대구광역시 북구 구암동 773-1,287,7,50,양방,양측,3.8,3.8,273,277,35.94284842,128.5703065
8,초등학교(병설유치원 포함),강북초등학교,대구 북구 구암동 785-1,490,2,30,양방,양측,3,3,490,490,35.94035188,128.5666202
9,초등학교,경진초등학교,대구 북구 복현동 447,90,2,30,양방,편측,0,1.8,0,84,35.89187866,128.6177244
10,초등학교(병설유치원 포함),관남초등학교,대구 북구 관음동 1386-2,148,2,30,양방,양측,2.5,2.5,148,148,35.93659815,128.5478932
11,초등학교(병설유치원 포함),관문초등학교,대구 북구 매천동 743,55,2,30,양방,양측,2.4,2.4,55,55,35.90839011,128.5460288
12,초등학교,관음초등학교,대구 북구 관음동 1340-1,256,2,30,양방,편측,0,2,0,163,35.94010926,128.546502
13,초등학교,관천초등학교,대구 북구 태전동 999-2,216,2,30,양방,양측,2,2,63,192,35.93037855,128.5519347
14,초등학교,교동초등학교,대구 북구 읍내동 1305,219,2,30,양방,편측,1.5,0,43,0,35.94455597,128.5494543
15,초등학교,구암초등학교,대구 북구 구암동 694-1,216,6,50,양방,양측,4.8,4.8,215,214,35.92798331,128.5579802
16,초등학교,달산초등학교,대구 북구 침산동 402,480,2,30,양방,양측,3,3,416,460,35.88805367,128.585076
17,초등학교(병설유치원 포함),대산초등학교,대구 북구 산격동 789-4,351,2,30,양방,양측,2,1,187,87,35.89690546,128.5936013
18,초등학교,대천초등학교,대구 북구 읍내동 1366,224,2,30,양방,편측,0,2,0,194,35.93690732,128.5542182
19,초등학교(병설유치원 포함),도남초등학교,대구 북구 국우동 1110-2,294,4,30,양방,양측,3,3,294,279,35.94843035,128.5769976
20,초등학교(병설유치원 포함),동변초등학교,대구 북구 동변동 694,357,4,30,양방,양측,3,3,323,367,35.91899976,128.6043291
21,초등학교(병설유치원 포함),동평초등학교,대구 북구 동천동 915-1,400,2,30,양방,양측,3,3,379,390,35.93888405,128.5606906
