순번,주차장관리번호,주차장명,주차장 유형,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공유일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권적용시간,월정기요금,결제방법,관리기관명,경도,위도
1,154-4-000190,광양,노외,대구광역시 북구 노원동3가 892-1,25,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,500,60,1000,0,5000,80000,현금,대구광역시 북구청,35.89220587,128.5679626
2,154-4-000191,구남,노외,대구광역시 북구 읍내동 1121-1,15,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,1000,60,2000,0,10000,100000,현금,대구광역시 북구청,35.93292828,128.5503945
3,154-4-000192,구마니 유료주차장,노외,대구광역시 북구 칠성동2가 504,31,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,1000,10,500,0,0,0,현금,대구광역시 북구청,35.87695476,128.5962597
4,154-4-000198,뉴욕,노외,대구광역시 북구 칠성동1가 155-2,10,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,60,1000,0,0,0,0,0,현금,대구광역시 북구청,35.8757242,128.6048736
5,154-4-000199,대광,노외,대구광역시 북구 노원동1가 205,10,2,미시행,평일+토요일,07:00:00,21:00:00,07:00:00,21:00:00,00:00:00,00:00:00,유료,30,1000,60,1500,0,6000,70000,현금,대구광역시 북구청,35.88880316,128.5764994
6,154-4-000200,대륙,노외,대구광역시 북구 칠성동2가 549-6,24,1,미시행,평일+토요일+공휴일,08:00:00,19:00:00,08:00:00,19:00:00,08:00:00,19:00:00,유료,30,1000,60,1500,0,5000,70000,현금,대구광역시 북구청,35.8778587,128.6006471
7,154-4-000201,대보,노외,대구광역시 북구 칠성동2가 302-308,9,1,미시행,평일+토요일,09:00:00,20:00:00,09:00:00,20:00:00,00:00:00,00:00:00,유료,30,1000,60,2000,0,0,0,현금,대구광역시 북구청,35.87688665,128.5951518
8,154-4-000202,대진,노외,대구광역시 북구 노원동3가 731-1,28,2,미시행,평일+토요일+공휴일,04:30:00,18:30:00,04:30:00,18:30:00,04:30:00,18:30:00,유료,30,1000,60,1000,0,3000,80000,현금,대구광역시 북구청,35.89060717,128.5648608
9,154-4-000203,대현,노외,대구광역시 북구 대현동 277-59,18,1,미시행,평일+토요일,09:00:00,22:00:00,09:00:00,22:00:00,00:00:00,00:00:00,유료,30,1000,60,2000,0,5000,60000,현금,대구광역시 북구청,35.8800966,128.6102939
10,154-4-000204,대흥,노외,대구광역시 북구 노원동3가 73-6,24,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,1000,0,0,0,0,60000,현금,대구광역시 북구청,35.89769395,128.5700623
11,154-4-000205,도성,노외,대구광역시 북구 노원동1가 366-1,25,1,미시행,평일+토요일+공휴일,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,유료,30,1000,10,500,0,0,0,현금,대구광역시 북구청,35.88553119,128.5814603
12,154-4-000207,동서,노외,대구광역시 북구 노원동2가 275-2,18,2,미시행,평일+토요일,09:00:00,18:00:00,19:00:00,23:59:00,00:00:00,00:00:00,유료,60,1000,0,0,0,5000,0,현금,대구광역시 북구청,35.8880973,128.5744019
13,154-4-000212,만평,노외,대구광역시 북구 노원동3가 765-1,16,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,30,1000,10,500,0,10000,100000,현금,대구광역시 북구청,35.88939489,128.5671873
